scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,,,,,
0,W_max_pv_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75,TIDNULL,TIDNULL,PARENT_305_BASE,EA305,capex_low,20,0.06,,,,,
1,W_max_yield_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75,DMO_TOU,DMO_TOU,PARENT_305_BASE,EA305,capex_low,20,0.06,,,,,
2,W_max_yield_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75,TIDNULL,TIDNULL,PARENT_305_BASE,EA305,capex_low,20,0.06,,,,,
3,W_max_yield_1kW.csv,TRUE,75,W,en_pv,TRUE,W_75,TIDNULL,TIDNULL,PARENT_305_BASE,EA305,capex_low,20,0.06,,,,,
4,W_max_pv_1kW.csv,TRUE,75,W,btm_i_u,TRUE,W_75,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,
