scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,,FALSE,,W_new,bau,FALSE,,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,0,demo_wcomp_000,bau,72,W_new,0,0,0,1368.706408,0,1368.706408,0,0,0,0,21.54385556,19936.94051,0,19936.94051,0,0,0,-1375188.916,0,0,0,1.981268512,408793.8863,0,38480.53283,118483.8019,100,100,0,0,0,118483.8019,0,408791.905
1,,FALSE,,W_new,bau,FALSE,,DMO_BAU,DMO_BAU,TIDNULL,EA305,,20,0.06,1,demo_wcomp_001,bau,72,W_new,0,0,0,1399.611235,0,1399.611235,0,0,0,0,21.54385556,22721.44458,0,22721.44458,0,0,0,-1433333.72,0,0,0,1.981268512,408793.8863,0,38480.53283,123493.4535,100,100,0,0,0,123493.4535,0,408791.905
2,W_max_pv_1kW.csv,TRUE,75,W_new,btm_i_c,TRUE,W_75,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,2,demo_wcomp_002,btm_i_c,72,W_new,0,0,8279.077312,1155.804447,0,1246.018959,0,0,0,-3.73E-11,21.54385556,14653.08975,0,16436.72221,0,0,0,-1232036.963,0,0,0,19561.18443,325871.7652,25.06931351,35632.69803,97871.00991,80.91243984,80.91243984,20.28419321,20.28419321,0,106150.0872,0,408791.905
3,W_max_pv_1kW.csv,TRUE,75,W_new,btm_i_c,TRUE,W_75_25,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,3,demo_wcomp_003,btm_i_c,72,W_new,0,0,10348.84664,1155.804447,0,1268.572586,0,0,0,-3.73E-11,21.54385556,14653.08975,0,16882.63033,0,0,0,-1256059.857,0,0,0,19561.18443,325871.7652,25.06931351,35632.69803,97871.00991,80.91243984,80.91243984,20.28419321,20.28419321,0,108219.8566,0,408791.905
4,W_max_pv_1kW.csv,TRUE,75,W_new,btm_i_c,TRUE,W_75_50,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06,4,demo_wcomp_004,btm_i_c,72,W_new,0,0,12418.61597,1155.804447,0,1291.126214,0,0,0,-3.73E-11,21.54385556,14653.08975,0,17328.53844,0,0,0,-1280082.752,0,0,0,19561.18443,325871.7652,25.06931351,35632.69803,97871.00991,80.91243984,80.91243984,20.28419321,20.28419321,0,110289.6259,0,408791.905
5,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75,DMO_SIT_15_FIT8_ppa19.8,DMO_SIT_15_FIT8_ppa19.8,TIDNULL,EA305,ppa_1,20,0.06,5,demo_wcomp_005,btm_p_c,72,W_new,4371.24,3500.768724,8279.077312,1113.136862,204.1296673,1317.266529,0,0,0,-3.73E-11,21.54385556,14662.99338,4190.127429,18853.12081,0,0,0,-1319622.633,0,0,0,7090.094614,313400.6754,25.06931351,35632.69803,94808.84744,93.08157397,93.08157397,23.3349116,23.3349116,2736.377439,113696.3109,0,408791.905
6,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75_25,DMO_SIT_15_FIT8_ppa19.8,DMO_SIT_15_FIT8_ppa19.8,TIDNULL,EA305,ppa_1,20,0.06,6,demo_wcomp_006,btm_p_c,72,W_new,4371.24,3500.768724,10348.84664,1113.136862,204.1296673,1317.266529,0,0,0,-3.73E-11,21.54385556,14662.99338,4190.127429,18853.12081,0,0,0,-1319622.633,0,0,0,7090.094614,313400.6754,25.06931351,35632.69803,94808.84744,93.08157397,93.08157397,23.3349116,23.3349116,666.6081113,113696.3109,0,408791.905
7,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75_50,DMO_SIT_15_FIT8_ppa19.8,DMO_SIT_15_FIT8_ppa19.8,TIDNULL,EA305,ppa_1,20,0.06,7,demo_wcomp_007,btm_p_c,72,W_new,4371.24,3500.768724,12418.61597,1113.136862,204.1296673,1317.266529,0,0,0,-3.73E-11,21.54385556,14662.99338,4190.127429,18853.12081,0,0,0,-1319622.633,0,0,0,7090.094614,313400.6754,25.06931351,35632.69803,94808.84744,93.08157397,93.08157397,23.3349116,23.3349116,-1403.161217,113696.3109,0,408791.905
8,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75,DMO_SIT_15_FIT8_ppa25,DMO_SIT_15_FIT8_ppa25,TIDNULL,EA305,ppa_1,20,0.06,8,demo_wcomp_008,btm_p_c,72,W_new,4371.24,3500.768724,8279.077312,1113.136862,257.7394789,1370.876341,0,0,0,0,21.54385556,14662.99338,5290.564935,19953.55831,0,0,0,-1377195.144,0,0,0,7090.094614,313400.6754,25.06931351,35632.69803,94808.84744,93.08157397,93.08157397,23.3349116,23.3349116,7696.721382,118656.6549,0,408791.905
9,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75_25,DMO_SIT_15_FIT8_ppa25,DMO_SIT_15_FIT8_ppa25,TIDNULL,EA305,ppa_1,20,0.06,9,demo_wcomp_009,btm_p_c,72,W_new,4371.24,3500.768724,10348.84664,1113.136862,257.7394789,1370.876341,0,0,0,1.86E-11,21.54385556,14662.99338,5290.564935,19953.55831,0,0,0,-1377195.144,0,0,0,7090.094614,313400.6754,25.06931351,35632.69803,94808.84744,93.08157397,93.08157397,23.3349116,23.3349116,5626.952054,118656.6549,0,408791.905
