scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate
0,,FALSE,,W_new,bau,FALSE,,DMO_BAU,DMO_BAU,TIDNULL,EA305,,20,0.06
1,,FALSE,,W_new,bau,FALSE,,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
2,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_BAU,EN_FL_15,EN_P,EA305,capex_med,20,0.06
3,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_BAU,EN_FL_25,EN_P,EA305,capex_med,20,0.06
4,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_BAU,EN_FL_H,EN_P,EA305,capex_med,20,0.06
5,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_BAU,EN_FL_Z,EN_P,EA305,capex_med,20,0.06
6,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_TOU,EN_TOU_15,EN_P,EA305,capex_med,20,0.06
7,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_TOU,EN_TOU_H,EN_P,EA305,capex_med,20,0.06
8,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_TOU,EN_TOU_25,EN_P,EA305,capex_med,20,0.06
9,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_TOU,EN_TOU_Z,EN_P,EA305,capex_med,20,0.06
10,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_TOU,EN_STC_15,EN_P,EA305,capex_med,20,0.06
11,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_TOU,EN_STC_H,EN_P,EA305,capex_med,20,0.06
12,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_TOU,EN_STC_25,EN_P,EA305,capex_med,20,0.06
13,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,DMO_TOU,EN_STC_Z,EN_P,EA305,capex_med,20,0.06
