scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate
0,,FALSE,,W_new,bau,FALSE,,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
1,,FALSE,,W_new,bau,FALSE,,DMO_BAU,DMO_BAU,TIDNULL,EA305,,20,0.06
2,W_max_pv_1kW.csv,TRUE,75,W_new,btm_i_c,TRUE,W_75,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
3,W_max_pv_1kW.csv,TRUE,75,W_new,btm_i_c,TRUE,W_75_25,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
4,W_max_pv_1kW.csv,TRUE,75,W_new,btm_i_c,TRUE,W_75_50,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
5,W_max_pv_1kW.csv,TRUE,110,W_new,btm_i_c,TRUE,W_110,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
6,W_max_pv_1kW.csv,TRUE,110,W_new,btm_i_c,TRUE,W_110_25,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
7,W_max_pv_1kW.csv,TRUE,110,W_new,btm_i_c,TRUE,W_110_50,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
8,W_max_pv_1kW.csv,TRUE,145,W_new,btm_i_c,TRUE,W_145,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
9,W_max_pv_1kW.csv,TRUE,145,W_new,btm_i_c,TRUE,W_145_25,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
10,W_max_pv_1kW.csv,TRUE,145,W_new,btm_i_c,TRUE,W_145_50,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
11,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75,DMO_SIT_15_FIT8_ppa19.8,DMO_SIT_15_FIT8_ppa19.8,TIDNULL,EA305,ppa_1,20,0.06
12,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75_25,DMO_SIT_15_FIT8_ppa19.8,DMO_SIT_15_FIT8_ppa19.8,TIDNULL,EA305,ppa_1,20,0.06
13,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75_50,DMO_SIT_15_FIT8_ppa19.8,DMO_SIT_15_FIT8_ppa19.8,TIDNULL,EA305,ppa_1,20,0.06
14,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75,DMO_SIT_15_FIT8_ppa25,DMO_SIT_15_FIT8_ppa25,TIDNULL,EA305,ppa_1,20,0.06
15,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75_25,DMO_SIT_15_FIT8_ppa25,DMO_SIT_15_FIT8_ppa25,TIDNULL,EA305,ppa_1,20,0.06
16,W_max_pv_1kW.csv,TRUE,75,W_new,btm_p_c,TRUE,W_75_50,DMO_SIT_15_FIT8_ppa25,DMO_SIT_15_FIT8_ppa25,TIDNULL,EA305,ppa_1,20,0.06
17,W_max_pv_1kW.csv,FALSE,75,W_new,en,FALSE,,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
18,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
19,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
20,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
21,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
22,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110_25,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
23,W_max_pv_1kW.csv,TRUE,110,W_new,en_pv,TRUE,W_110_50,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
24,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
25,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145_25,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
26,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_145_50,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
27,W_max_pv_1kW.csv,FALSE,75,W_new,en,FALSE,,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
28,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
29,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
30,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
