scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wcomp_000,bau,72.0,W_new,0.0,0.0,0.0,1368.7064075186781,0.0,1368.7064075186781,0.0,0.0,0.0,0.0,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,0.0,0.0,-1375188.9162889337,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,118483.80185499726,100.0,100.0,0.0,0.0,0.0,118483.80185499726,0.0,408791.90503850946
1,demo_wcomp_001,bau,72.0,W_new,0.0,0.0,0.0,1399.6112350726883,0.0,1399.6112350726883,0.0,0.0,0.0,0.0,21.54385556443897,22721.444583056822,0.0,22721.444583056822,0.0,0.0,0.0,-1433333.7202217816,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,123493.45350829032,100.0,100.0,0.0,0.0,0.0,123493.45350829032,0.0,408791.90503850946
2,demo_wcomp_002,btm_i_c,72.0,W_new,0.0,0.0,8279.077311773766,1155.804446645797,0.0,1246.018958502144,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,16436.72221201143,0.0,0.0,0.0,-1232036.963098342,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,106150.08722416582,0.0,408791.90503850946
3,demo_wcomp_003,btm_i_c,72.0,W_new,0.0,0.0,10348.846639717207,1155.804446645797,0.0,1268.572586466231,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,16882.630326540628,0.0,0.0,0.0,-1256059.8573210135,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,108219.85655210925,0.0,408791.90503850946
4,demo_wcomp_004,btm_i_c,72.0,W_new,0.0,0.0,12418.615967660648,1155.804446645797,0.0,1291.1262144303173,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,17328.53844106982,0.0,0.0,0.0,-1280082.7515436849,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,110289.62588005271,0.0,408791.90503850946
5,demo_wcomp_005,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,8279.077311773766,1113.1368620403268,204.1296673151375,1317.266529355464,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14662.993376801262,4190.127428505746,18853.120805307008,0.0,0.0,0.0,-1319622.6332267877,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,2736.3774392741616,113696.31091890045,0.0,408791.90503850946
6,demo_wcomp_006,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,10348.846639717207,1113.1368620403268,204.1296673151375,1317.266529355464,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14662.993376801262,4190.127428505746,18853.120805307008,0.0,0.0,0.0,-1319622.6332267877,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,666.6081113307201,113696.31091890045,0.0,408791.90503850946
7,demo_wcomp_007,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,204.1296673151375,1317.266529355464,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14662.993376801262,4190.127428505746,18853.120805307008,0.0,0.0,0.0,-1319622.6332267877,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,-1403.1612166127213,113696.31091890045,0.0,408791.90503850946
8,demo_wcomp_008,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,8279.077311773766,1113.1368620403268,257.73947893325436,1370.8763409735816,0.0,0.0,0.0,0.0,21.54385556443897,14662.993376801262,5290.564934982003,19953.558311783265,0.0,0.0,0.0,-1377195.1444441092,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,7696.721382254823,118656.65486188106,0.0,408791.90503850946
9,demo_wcomp_009,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,10348.846639717207,1113.1368620403268,257.73947893325436,1370.8763409735816,0.0,0.0,0.0,1.862645149230957e-11,21.54385556443897,14662.993376801262,5290.564934982003,19953.558311783265,0.0,0.0,0.0,-1377195.1444441092,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,5626.952054311381,118656.65486188106,0.0,408791.90503850946
