scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_wcomp_MR_000,bau,72.0,W_new,0.0,0.0,0.0,1368.7064075186781,0.0,1368.7064075186781,0.0,0.0,0.0,0.0,21.54385556443897,19936.940513652404,0.0,19936.940513652404,0.0,0.0,0.0,-1375188.9162889337,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,118483.80185499726,100.0,100.0,0.0,0.0,0.0,118483.80185499726,0.0,408791.90503850946
1,demo_wcomp_MR_001,bau,72.0,W_new,0.0,0.0,0.0,1399.6112350726883,0.0,1399.6112350726883,0.0,0.0,0.0,0.0,21.54385556443897,22721.444583056822,0.0,22721.444583056822,0.0,0.0,0.0,-1433333.7202217816,0.0,0.0,0.0,1.9812685120000002,408793.8863070211,0.0,38480.53282807798,123493.45350829032,100.0,100.0,0.0,0.0,0.0,123493.45350829032,0.0,408791.90503850946
2,demo_wcomp_MR_002,btm_i_c,72.0,W_new,0.0,0.0,8279.077311773766,1155.804446645797,0.0,1246.018958502144,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,16436.72221201143,0.0,0.0,0.0,-1232036.963098342,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,106150.08722416582,0.0,408791.90503850946
3,demo_wcomp_MR_003,btm_i_c,72.0,W_new,0.0,0.0,10348.846639717207,1155.804446645797,0.0,1268.572586466231,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,16882.630326540628,0.0,0.0,0.0,-1256059.8573210135,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,108219.85655210925,0.0,408791.90503850946
4,demo_wcomp_MR_004,btm_i_c,72.0,W_new,0.0,0.0,12418.615967660648,1155.804446645797,0.0,1291.1262144303173,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14653.089753894654,0.0,17328.53844106982,0.0,0.0,0.0,-1280082.7515436849,0.0,0.0,0.0,19561.184425148225,325871.76517698943,25.06931351221684,35632.69803195092,97871.00991239201,80.91243984081409,80.91243984081396,20.284193214077526,20.284193214077646,0.0,110289.62588005271,0.0,408791.90503850946
5,demo_wcomp_MR_005,btm_i_c,72.0,W_new,0.0,0.0,12142.646723934855,1101.3069110788504,0.0,1233.6215284681593,0.0,0.0,0.0,0.0,21.54385556443897,13286.543110026954,0.0,15902.53738193156,0.0,0.0,0.0,-1215476.7309845246,0.0,0.0,0.0,46259.096587856286,304745.05933925265,36.76832648458473,34917.9876638488,92580.64070770424,69.22337474888862,69.22337474888873,25.45227643131896,25.452276431319078,0.0,104723.2874316391,0.0,408791.90503850946
6,demo_wcomp_MR_006,btm_i_c,72.0,W_new,0.0,0.0,15178.30840491857,1101.3069110788504,0.0,1266.7001828154866,0.0,0.0,0.0,3.725290298461914e-11,21.54385556443897,13286.543110026954,0.0,16556.53594990771,0.0,0.0,0.0,-1250710.3091777756,0.0,0.0,0.0,46259.096587856286,304745.05933925265,36.76832648458473,34917.9876638488,92580.64070770424,69.22337474888862,69.22337474888873,25.45227643131896,25.452276431319078,0.0,107758.94911262278,0.0,408791.90503850946
7,demo_wcomp_MR_007,btm_i_c,72.0,W_new,0.0,0.0,18213.97008590228,1101.3069110788504,0.0,1299.7788371628144,0.0,0.0,0.0,3.725290298461914e-11,21.54385556443897,13286.543110026954,0.0,17210.53451788386,0.0,0.0,0.0,-1285943.8873710278,0.0,0.0,0.0,46259.096587856286,304745.05933925265,36.76832648458473,34917.9876638488,92580.64070770424,69.22337474888862,69.22337474888873,25.45227643131896,25.452276431319078,0.0,110794.6107936065,0.0,408791.90503850946
8,demo_wcomp_MR_008,btm_i_c,72.0,W_new,0.0,0.0,16006.216136095944,1063.7063508492006,0.0,1238.1210737714716,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,12516.749004138343,0.0,15965.10508983078,0.0,0.0,0.0,-1219963.070870815,0.0,0.0,0.0,80297.94987709884,290959.29462805006,48.46733945695259,34476.91184916157,89103.60626528077,59.472203702165885,59.47220370216585,28.824594850859057,28.8245948508592,0.0,105109.82240137673,0.0,408791.90503850946
9,demo_wcomp_MR_009,btm_i_c,72.0,W_new,0.0,0.0,20007.770170119933,1063.7063508492006,0.0,1281.7247545020396,0.0,0.0,0.0,-5.587935447692871e-11,21.54385556443897,12516.749004138343,0.0,16827.194111253888,0.0,0.0,0.0,-1266407.333034647,0.0,0.0,0.0,80297.94987709884,290959.29462805006,48.46733945695259,34476.91184916157,89103.60626528077,59.472203702165885,59.47220370216585,28.824594850859057,28.8245948508592,0.0,109111.37643540074,0.0,408791.90503850946
10,demo_wcomp_MR_010,btm_i_c,72.0,W_new,0.0,0.0,24009.32420414392,1063.7063508492006,0.0,1325.3284352326075,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,12516.749004138343,0.0,17689.283132676996,0.0,0.0,0.0,-1312851.5951984783,0.0,0.0,0.0,80297.94987709884,290959.29462805006,48.46733945695259,34476.91184916157,89103.60626528077,59.472203702165885,59.47220370216585,28.824594850859057,28.8245948508592,0.0,113112.93046942471,0.0,408791.90503850946
11,demo_wcomp_MR_011,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,8279.077311773766,1113.1368620403268,204.1296673151375,1317.266529355464,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14662.993376801262,4190.127428505746,18853.120805307008,0.0,0.0,0.0,-1319622.6332267877,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,2736.3774392741616,113696.31091890045,0.0,408791.90503850946
12,demo_wcomp_MR_012,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,10348.846639717207,1113.1368620403268,204.1296673151375,1317.266529355464,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14662.993376801262,4190.127428505746,18853.120805307008,0.0,0.0,0.0,-1319622.6332267877,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,666.6081113307201,113696.31091890045,0.0,408791.90503850946
13,demo_wcomp_MR_013,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,204.1296673151375,1317.266529355464,0.0,0.0,0.0,-3.725290298461914e-11,21.54385556443897,14662.993376801262,4190.127428505746,18853.120805307008,0.0,0.0,0.0,-1319622.6332267877,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,-1403.1612166127213,113696.31091890045,0.0,408791.90503850946
14,demo_wcomp_MR_014,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,8279.077311773766,1113.1368620403268,257.73947893325436,1370.8763409735816,0.0,0.0,0.0,0.0,21.54385556443897,14662.993376801262,5290.564934982003,19953.558311783265,0.0,0.0,0.0,-1377195.1444441092,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,7696.721382254823,118656.65486188106,0.0,408791.90503850946
15,demo_wcomp_MR_015,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,10348.846639717207,1113.1368620403268,257.73947893325436,1370.8763409735816,0.0,0.0,0.0,1.862645149230957e-11,21.54385556443897,14662.993376801262,5290.564934982003,19953.558311783265,0.0,0.0,0.0,-1377195.1444441092,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,5626.952054311381,118656.65486188106,0.0,408791.90503850946
16,demo_wcomp_MR_016,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,257.73947893325436,1370.8763409735816,0.0,0.0,0.0,0.0,21.54385556443897,14662.993376801262,5290.564934982003,19953.558311783265,0.0,0.0,0.0,-1377195.1444441092,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,3557.18272636794,118656.65486188106,0.0,408791.90503850946
17,demo_wcomp_MR_017,en,72.0,W_new,18000.0,4195.4202784481795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,82450.80739079864,-1214582.3325142309,0.0,104646.22766924681,-104646.22766924681,0.0,408791.905038509,0.0,38480.53282807798,82450.80739079864,100.0,100.0,0.0,0.0,0.0,104646.22766924681,0.0,408791.90503850946
18,demo_wcomp_MR_018,en_pv,72.0,W_new,18000.0,4195.4202784481795,8279.077311773766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1152183.865902845,0.0,99270.08809564535,-99270.08809564535,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,99270.08809564535,0.0,408791.90503850946
19,demo_wcomp_MR_019,en_pv,72.0,W_new,18000.0,4195.4202784481795,10348.846639717207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1176206.7601255171,0.0,101339.85742358878,-101339.85742358878,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,101339.85742358878,0.0,408791.90503850946
20,demo_wcomp_MR_020,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,0.0,103409.62675153223,-103409.62675153223,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
21,demo_wcomp_MR_021,en_pv,72.0,W_new,18000.0,4195.4202784481795,12142.646723934855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,65345.690119097744,-1156985.1387387484,0.0,99683.75712148078,-99683.75712148078,30697.02448645,289182.9872378463,36.768326484584826,34917.9876638488,65345.690119097744,79.57697212807912,79.5769721280794,29.2591209185992,29.259120918599308,0.0,99683.75712148078,0.0,408791.90503850946
22,demo_wcomp_MR_022,en_pv,72.0,W_new,18000.0,4195.4202784481795,15178.30840491857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,65345.690119097744,-1192218.7169320001,0.0,102719.4188024645,-102719.4188024645,30697.02448645,289182.9872378463,36.768326484584826,34917.9876638488,65345.690119097744,79.57697212807912,79.5769721280794,29.2591209185992,29.259120918599308,0.0,102719.4188024645,0.0,408791.90503850946
23,demo_wcomp_MR_023,en_pv,72.0,W_new,18000.0,4195.4202784481795,18213.97008590228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,65345.690119097744,-1227452.2951252533,0.0,105755.08048344821,-105755.08048344821,30697.02448645,289182.9872378463,36.768326484584826,34917.9876638488,65345.690119097744,79.57697212807912,79.5769721280794,29.2591209185992,29.259120918599308,0.0,105755.08048344821,0.0,408791.90503850946
24,demo_wcomp_MR_024,en_pv,72.0,W_new,18000.0,4195.4202784481795,16006.216136095944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1177354.243230742,0.0,101438.7225026052,-101438.7225026052,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,101438.7225026052,0.0,408791.90503850946
25,demo_wcomp_MR_025,en_pv,72.0,W_new,18000.0,4195.4202784481795,20007.770170119933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1223798.5053945752,0.0,105440.2765366292,-105440.2765366292,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,105440.2765366292,0.0,408791.90503850946
26,demo_wcomp_MR_026,en_pv,72.0,W_new,18000.0,4195.4202784481795,24009.32420414392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1270242.7675584068,0.0,109441.8305706532,-109441.8305706532,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,109441.8305706532,0.0,408791.90503850946
27,demo_wcomp_MR_027,en,72.0,W_new,18000.0,2647.9291921353265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,82450.80739079864,-1196621.2901047568,0.0,103098.73658293397,-103098.73658293397,0.0,408791.905038509,0.0,38480.53282807798,82450.80739079864,100.0,100.0,0.0,0.0,0.0,103098.73658293397,0.0,408791.90503850946
28,demo_wcomp_MR_028,en_pv,72.0,W_new,18000.0,2647.9291921353265,8279.077311773766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1134222.8234933717,0.0,97722.5970093325,-97722.5970093325,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,97722.5970093325,0.0,408791.90503850946
29,demo_wcomp_MR_029,en_pv,72.0,W_new,18000.0,2647.9291921353265,10348.846639717207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1158245.7177160427,0.0,99792.36633727593,-99792.36633727593,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,99792.36633727593,0.0,408791.90503850946
30,demo_wcomp_MR_030,en_pv,72.0,W_new,18000.0,2647.9291921353265,12418.615967660648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1182268.6119387145,0.0,101862.1356652194,-101862.1356652194,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,101862.1356652194,0.0,408791.90503850946
31,demo_wcomp_MR_031,en_pv,72.0,W_new,18000.0,2647.9291921353265,12142.646723934855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,65345.690119097744,-1139024.0963292744,0.0,98136.26603516792,-98136.26603516792,30697.02448645,289182.9872378463,36.768326484584826,34917.9876638488,65345.690119097744,79.57697212807912,79.5769721280794,29.2591209185992,29.259120918599308,0.0,98136.26603516792,0.0,408791.90503850946
32,demo_wcomp_MR_032,en_pv,72.0,W_new,18000.0,2647.9291921353265,15178.30840491857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,65345.690119097744,-1174257.6745225268,0.0,101171.92771615164,-101171.92771615164,30697.02448645,289182.9872378463,36.768326484584826,34917.9876638488,65345.690119097744,79.57697212807912,79.5769721280794,29.2591209185992,29.259120918599308,0.0,101171.92771615164,0.0,408791.90503850946
33,demo_wcomp_MR_033,en_pv,72.0,W_new,18000.0,2647.9291921353265,18213.97008590228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,65345.690119097744,-1209491.2527157785,0.0,104207.58939713537,-104207.58939713537,30697.02448645,289182.9872378463,36.768326484584826,34917.9876638488,65345.690119097744,79.57697212807912,79.5769721280794,29.2591209185992,29.259120918599308,0.0,104207.58939713537,0.0,408791.90503850946
34,demo_wcomp_MR_034,en_pv,72.0,W_new,18000.0,2647.9291921353265,16006.216136095944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1159393.2008212677,0.0,99891.23141629236,-99891.23141629236,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,99891.23141629236,0.0,408791.90503850946
35,demo_wcomp_MR_035,en_pv,72.0,W_new,18000.0,2647.9291921353265,20007.770170119933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1205837.4629851005,0.0,103892.78545031635,-103892.78545031635,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,103892.78545031635,0.0,408791.90503850946
36,demo_wcomp_MR_036,en_pv,72.0,W_new,18000.0,2647.9291921353265,24009.32420414392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1252281.7251489316,0.0,107894.33948434032,-107894.33948434032,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,107894.33948434032,0.0,408791.90503850946
37,demo_wcomp_MR_037,en,72.0,W_new,18000.0,6774.572088969601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,82450.80739079864,-1244517.403196687,0.0,107225.37947976823,-107225.37947976823,0.0,408791.905038509,0.0,38480.53282807798,82450.80739079864,100.0,100.0,0.0,0.0,0.0,107225.37947976823,0.0,408791.90503850946
38,demo_wcomp_MR_038,en_pv,72.0,W_new,18000.0,6774.572088969601,8279.077311773766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1182118.9365853027,0.0,101849.23990616677,-101849.23990616677,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,101849.23990616677,0.0,408791.90503850946
